UID,Name of Industrial Estate,District,Name of allootte Unit,Plot Number,Sector,Area at the time of allotment in Sq. Mtr.,Area at the time of Possession in Sq. Mtr.,Geometric Area,Constitution of Organization (Limited,Nature of Project,Proposed Product,PCB Category,Plot Status ,Proposed Investment (in cr.),Proposed Employment at time of allotment,Employment UK,email ID,Contact Number,Date of Allotment,Lease Deed,Lease Deed Date,Possession,Possession Date,Comment,Plot Status Date,Occupancy Certificate,Time Extension1,Time Extension1 Date,Time Extension Last,Time Extension Last Date,Land Use,Land Cost (per sq.m.),Maintenance cost towards common services (cost paid),Ref. No. - Layout Plan Approval from SIDA,Ref. No.- Building Plan Approval from SIDA,Whether industry is through FDI,Registration for SSI / EM1 / EM2 / UAM / IEM / SIA (Please select any one option),SSI / EM1 / EM2 / UAM / IEM / SIA,Subsidy From State Govt (Nil in case of No Subsidy) (in cr.),Policy under which the unit is established,Provide the name of Other Policy,NIC 5 Digit Code (as per NIC Code 2008),Women Entrepreneur,Electricity Connection,Electricity Supplier,Backup Electricity,Diesel Generator,CETP Connection,Water Connectiopn,Source of Water ,Time of Water Supply,Solid Waste Collection ,Time of Solid Waste Collection,Solar Panel,Rain Water Hasrvesting,Parking,Energy efficient fixtures,Energy Management Systems,Incubation Centre Provided,Warehouse ,Green Building,Gas Pipeline,Fire Extinguishing System,OH&S,Regulatory Authority (Property),Property Tax Payable,Regulatory AuthorityWater,Water Tax Payable,Regulatory Authority Environmental,Environmentall/Pollution Tax Payable,Total Tax payable (Rs.),Expenditure of Industry (p.a.)(Rs.),Revenue from Plots (p.a.)(Rs.),Permanent Male Employees,Permanent Female Employees,Permanent Total Employees,Contractual Male Employees,Contractual Female Employees,Contractual Total Employees,Differentally Abbled Employee,Skilled Male Employees,Skilled Female Employees,Skilled Total Employees,Semi-Skilled Male Employees,Semi-Skilled Female Employees,Semi-Skilled Total Employees,Unskilled Male Employees,Unskilled Female Employees,Unskilled Total Employees,Local Resident Male Employees,Local Resident Female Employees,Local Resident Total Employees,"Programme for skill training of employees. (Programme name, number of people trained, Month and Year of training","Harassment Prevention and Redressal (Harassment redressal team,","Sexual harassment redressal team, transport provision for women)","Community Dialogue (Website, Media Release, News Bulletin, Social Media, Other)","Community services such as drinking water supply, water harvesting, health camps etc.","Outreach activities: CSR Activities/ Clean up drives, health camp, public service activities etc.",Pollution Clearance,Date of pollution clearance taken by industry,Date of expiry of pollution clearance,Type of Emission,Air pollution- emission quality data,Reduction of Emission-Measures taken and compliance for air pollution control,"Air pollution monitoring system (online and offline monitoring, lab facilities, data display","facilities, data reporting systems )",Noise pollution data (as per regulatory authority),Whether EIA needed and done?,ISO Certification,"Green Building Certification IGBC, BREEA, LEED, DGNB)",Pre-assessment for Gold Rating,"Design of building (Passive Design, Building Orientation)",Record of major trees within plot,Any green measures taken up by industry,Incentives/ grants for greening industry/ resource efficiency etc.,Any National/ International Certification,(Mention Year of Certification),Property Tax payable (in Rs.),Regulatory Authority(property)
BHM_S-6,IIE Bhimtal,Nainital,-,S-6,,,,293.407,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHM_S-7,IIE Bhimtal,Nainital,-,S-7,,,,309.809,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHM_S-8,IIE Bhimtal,Nainital,-,S-8,,,,295.143,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHM_S-9,IIE Bhimtal,Nainital,-,S-9,,,,289.317,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BHM_S-9,S-10",SIDC Bhimtal,Nainital,M/S ARCHANA NARROW FABRICS,"S-9,S-10",1,500,,556.652,Proprietor,Other,Narrow Fabrics,Orange,Alloted,4,25,N.A.,abhaydec@rediffmail.com,9755009865,16-Aug-16,Yes,10-Nov-16,Yes,26-Nov-16,,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHM_STADIUM,IIE Bhimtal,Nainital,-,STADIUM,,,,294.427,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_A-1,SIDC Bajpur I,Udham Singh Nagar,-,A-1,,,,24090.9,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_A-2,SIDC Bajpur I,Udham Singh Nagar,-,A-2,,,,6590.24,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_B-1 (Part),SIDC Bajpur I,Udham Singh Nagar,-,B-1 (Part),,,,4741.49,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_B-1(Part),SIDC Bajpur I,Udham Singh Nagar,-,B-1(Part),,,,1829.89,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_B-2,SIDC Bajpur I,Udham Singh Nagar,-,B-2,,,,7007.69,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_B-3,SIDC Bajpur I,Udham Singh Nagar,-,B-3,,,,7686.12,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_C1,SIDC Bajpur I,Udham Singh Nagar,-,C1,,,,4454.54,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_C2,SIDC Bajpur I,Udham Singh Nagar,-,C2,,,,4463.51,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_C-3,SIDC Bajpur I,Udham Singh Nagar,-,C-3,,,,4186.75,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_C-4,SIDC Bajpur I,Udham Singh Nagar,-,C-4,,,,4587.61,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_C5-C8,SIDC Bajpur I,Udham Singh Nagar,-,C5-C8,,,,14692,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_C9,SIDC Bajpur I,Udham Singh Nagar,-,C9,,,,4621.75,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_COMM/INST./INDUST./RESIDENCE,SIDC Bajpur I,Udham Singh Nagar,-,COMM/INST./INDUST./RESIDENCE,,,,1694.07,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_D1-D8,SIDC Bajpur I,Udham Singh Nagar,-,D1-D8,,,,17268.6,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_E13,SIDC Bajpur I,Udham Singh Nagar,-,E13,,,,656.115,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_E14,SIDC Bajpur I,Udham Singh Nagar,-,E14,,,,761.719,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_E15,SIDC Bajpur I,Udham Singh Nagar,-,E15,,,,763.209,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_E-16,SIDC Bajpur I,Udham Singh Nagar,-,E-16,,,,764.403,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_E17,SIDC Bajpur I,Udham Singh Nagar,-,E17,,,,765.574,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_E18,SIDC Bajpur I,Udham Singh Nagar,-,E18,,,,775.888,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ1_E1-E12,D9-D16",SIDC Bajpur I,Udham Singh Nagar,-,"E1-E12,D9-D16",,,,25012.1,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F1,SIDC Bajpur I,Udham Singh Nagar,-,F1,,,,485.263,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F10,SIDC Bajpur I,Udham Singh Nagar,-,F10,,,,478.775,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F11,SIDC Bajpur I,Udham Singh Nagar,-,F11,,,,477.32,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F12,SIDC Bajpur I,Udham Singh Nagar,-,F12,,,,472.182,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F13,SIDC Bajpur I,Udham Singh Nagar,-,F13,,,,469.035,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F-13,SIDC Bajpur I,Udham Singh Nagar,-,F-13,,,,467.149,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F15,SIDC Bajpur I,Udham Singh Nagar,-,F15,,,,465.158,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F16,SIDC Bajpur I,Udham Singh Nagar,-,F16,,,,456.186,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F17,SIDC Bajpur I,Udham Singh Nagar,-,F17,,,,469.53,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F18,SIDC Bajpur I,Udham Singh Nagar,-,F18,,,,571.299,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F19,SIDC Bajpur I,Udham Singh Nagar,-,F19,,,,572.377,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F2,SIDC Bajpur I,Udham Singh Nagar,-,F2,,,,488.769,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F-20,SIDC Bajpur I,Udham Singh Nagar,-,F-20,,,,572.911,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F21,SIDC Bajpur I,Udham Singh Nagar,-,F21,,,,573.585,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F-22,SIDC Bajpur I,Udham Singh Nagar,-,F-22,,,,574.786,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F23,SIDC Bajpur I,Udham Singh Nagar,-,F23,,,,575.143,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F24,SIDC Bajpur I,Udham Singh Nagar,-,F24,,,,567.425,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F-3,SIDC Bajpur I,Udham Singh Nagar,-,F-3,,,,483.04,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F-4,SIDC Bajpur I,Udham Singh Nagar,-,F-4,,,,487.575,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F6,SIDC Bajpur I,Udham Singh Nagar,-,F6,,,,475.307,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F6,SIDC Bajpur I,Udham Singh Nagar,-,F6,,,,478.918,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F7,SIDC Bajpur I,Udham Singh Nagar,-,F7,,,,475.468,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F8,SIDC Bajpur I,Udham Singh Nagar,-,F8,,,,608.964,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_F9,SIDC Bajpur I,Udham Singh Nagar,-,F9,,,,632.792,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ1_VACANT PLOT,SIDC Bajpur I,Udham Singh Nagar,-,VACANT PLOT,,,,5870.37,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_A-1,SIDC Bajpur II,Udham Singh Nagar,-,A-1,,,,39350,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_A-2,SIDC Bajpur II,Udham Singh Nagar,-,A-2,,,,53548.7,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_B1,SIDC Bajpur II,Udham Singh Nagar,-,B1,,,,7746.7,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_C1,SIDC Bajpur II,Udham Singh Nagar,-,C1,,,,3501.18,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_C-2,SIDC Bajpur II,Udham Singh Nagar,-,C-2,,,,3701.85,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_C3,SIDC Bajpur II,Udham Singh Nagar,-,C3,,,,4613.71,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_C4,SIDC Bajpur II,Udham Singh Nagar,-,C4,,,,4333.71,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_E1,SIDC Bajpur II,Udham Singh Nagar,-,E1,,,,2174.55,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_E2,SIDC Bajpur II,Udham Singh Nagar,-,E2,,,,1681.24,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_E3 to E7,SIDC Bajpur II,Udham Singh Nagar,-,E3 to E7,,,,12558.5,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_F_13,SIDC Bajpur II,Udham Singh Nagar,-,F_13,,,,761.552,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_F_14,SIDC Bajpur II,Udham Singh Nagar,-,F_14,,,,848.302,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_F_15,SIDC Bajpur II,Udham Singh Nagar,-,F_15,,,,1009.74,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_F12,SIDC Bajpur II,Udham Singh Nagar,-,F12,,,,533.761,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ2_G,SIDC Bajpur II,Udham Singh Nagar,-,G,,,,10882.6,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRD_1_A1,SIDC Balbhadrapur,Pauri Garhwal,-,A1,,,,1859.07,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRD_1_A1,A2,A3,A4",SIDC Balbhadrapur,Pauri Garhwal,Hitech Coltronix Ltd,"A1,A2,A3,A4",1,4795,4795,6343.99,Company Pvt. Ltd.,Food Processing,Mashroom,Orange,Others,3,50,N.A.,-,9810045495,12-Apr-89,Yes,14-Sep-05,Yes,20-Oct-05,more than 2 yr,,No,No,,No,,Plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRD_1_A2,SIDC Balbhadrapur,Pauri Garhwal,-,A2,,,,1253.79,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRD_1_A3,SIDC Balbhadrapur,Pauri Garhwal,-,A3,,,,1545.5,,Plot Vacant,,Plot Vacant,Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
